Provider ID,Service Category,Location (City - Subarea),"Coordinates (X, Y)",Rating,Experience,Click Count,Review Count
116,Plastering & Tiling,Chlef - Tacheta,"(36.153, 1.333)",3.8,2 years,159,59
117,Tutoring & Educational,Constantine - Ziadia,"(36.365, 6.613)",3.8,5 years,159,93
118,Home Appliance Repair,Batna - Aïn Touta,"(35.552, 5.804)",3.5,7 years,228,83
119,Home Appliance Repair,Bejaia - Tizi Rached,"(36.761, 5.748)",4.6,7 years,219,81
120,Personal Care (Home Services),Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",3.8,5 years,168,43
121,Housekeeping / Cleaning,Blida - Chrea,"(36.482, 2.831)",4.8,10 years,179,82
122,Tailoring & Alteration,Oran - El Hassi,"(35.72, -0.63)",4.4,8 years,253,62
123,Event Planning,Skikda - La Cloche,"(36.866, 6.906)",3.9,2 years,177,58
124,Home Appliance Repair,Batna - Aïn Touta,"(35.552, 5.804)",4.3,5 years,204,55
125,Pest Control,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.8,1 years,163,42
126,Event Planning,Chlef - Tacheta,"(36.153, 1.333)",4.9,9 years,261,98
127,Tailoring & Alteration,Batna - Aïn Touta,"(35.552, 5.804)",4.8,9 years,228,83
128,Auto Repair,Setif - Belkhir,"(36.185, 5.404)",4.9,1 years,242,54
129,Painting & Renovation,Tiaret - Merine,"(35.371, 1.315)",4.8,1 years,156,41
130,Tutoring & Educational,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",5.0,7 years,238,93
131,Plumbing,Illizi - Djanet,"(26.269, 9.484)",4.1,5 years,231,41
132,Pest Control,Biskra - El Hassi,"(34.85, 5.72)",4.8,8 years,271,89
133,Babysitting & Childcare,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.6,3 years,166,54
134,Tailoring & Alteration,Setif - Belkhir,"(36.185, 5.404)",3.5,3 years,160,58
135,Painting & Renovation,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.7,10 years,248,114
136,Auto Repair,Medea - Bordj Menaiel,"(36.267, 2.741)",4.5,1 years,169,47
137,Plumbing,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",3.6,6 years,259,68
138,Personal Care (Home Services),Algiers - Sidi Abdallah,"(36.745, 3.25)",4.9,2 years,229,48
139,Event Planning,Bejaia - Tizi Rached,"(36.761, 5.748)",4.5,10 years,241,107
140,Carpentry,Illizi - Djanet,"(26.269, 9.484)",3.8,9 years,263,84
141,Electrical Services,M'sila - Ksar El Hirane,"(35.45, 4.52)",3.5,2 years,224,51
142,Personal Care (Home Services),Annaba - El Hadjar,"(36.862, 7.76)",3.6,7 years,149,62
143,Home Appliance Repair,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.2,6 years,224,83
144,Auto Repair,Medea - Bordj Menaiel,"(36.267, 2.741)",3.9,9 years,186,83
145,Auto Repair,Medea - Bordj Menaiel,"(36.267, 2.741)",4.9,3 years,135,60
146,Carpentry,Skikda - La Cloche,"(36.866, 6.906)",3.8,1 years,124,32
147,Electrical Services,Bejaia - Tizi Rached,"(36.761, 5.748)",5.0,7 years,225,96
148,Tutoring & Educational,Annaba - El Hadjar,"(36.862, 7.76)",4.1,6 years,196,92
149,Personal Care (Home Services),Chlef - Tacheta,"(36.153, 1.333)",4.5,1 years,231,43
150,Housekeeping / Cleaning,Algiers - Sidi Abdallah,"(36.745, 3.25)",3.7,2 years,189,72
151,Babysitting & Childcare,Oran - El Hassi,"(35.72, -0.63)",4.7,8 years,288,76
152,Painting & Renovation,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.5,8 years,279,101
153,Plastering & Tiling,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",3.6,4 years,227,77
154,Electrical Services,Batna - Aïn Touta,"(35.552, 5.804)",3.8,2 years,116,52
155,Pest Control,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.5,8 years,200,66
156,Home Appliance Repair,Biskra - El Hassi,"(34.85, 5.72)",4.0,3 years,185,58
157,Babysitting & Childcare,Blida - Chrea,"(36.482, 2.831)",4.5,1 years,209,49
158,Event Planning,Setif - Belkhir,"(36.185, 5.404)",3.8,1 years,189,36
159,Plastering & Tiling,Adrar - Timimoun,"(27.46, 0.286)",5.0,1 years,229,48
160,Housekeeping / Cleaning,Illizi - Djanet,"(26.269, 9.484)",4.1,2 years,224,71
161,Plumbing,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.9,6 years,264,75
162,Personal Care (Home Services),Batna - Aïn Touta,"(35.552, 5.804)",4.6,5 years,256,67
163,Home Appliance Repair,Annaba - El Hadjar,"(36.862, 7.76)",4.7,9 years,256,99
164,Electrical Services,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.4,9 years,221,91
165,Carpentry,Oran - El Hassi,"(35.72, -0.63)",4.0,5 years,193,61
166,Home Appliance Repair,Oran - El Hassi,"(35.72, -0.63)",3.9,7 years,175,82
167,Pest Control,Annaba - El Hadjar,"(36.862, 7.76)",4.2,9 years,149,68
168,Pest Control,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",3.7,3 years,215,36
169,Event Planning,Tiaret - Merine,"(35.371, 1.315)",4.8,10 years,327,78
170,Electrical Services,Setif - Belkhir,"(36.185, 5.404)",3.5,10 years,304,72
171,Tailoring & Alteration,Annaba - El Hadjar,"(36.862, 7.76)",3.6,5 years,210,60
172,Auto Repair,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.8,8 years,239,95
173,Personal Care (Home Services),Adrar - Timimoun,"(27.46, 0.286)",3.7,4 years,146,62
174,Electrical Services,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.2,9 years,236,61
175,Tutoring & Educational,Illizi - Djanet,"(26.269, 9.484)",3.7,5 years,175,71
176,Plumbing,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.7,4 years,120,47
177,Event Planning,Ouargla - Hassi Messaoud,"(32.49, 6.266)",3.8,2 years,122,70
178,Auto Repair,Blida - Chrea,"(36.482, 2.831)",4.5,4 years,206,72
179,Electrical Services,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.9,4 years,202,48
180,Housekeeping / Cleaning,Adrar - Timimoun,"(27.46, 0.286)",4.3,6 years,288,82
181,Personal Care (Home Services),Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.5,8 years,265,107
182,Auto Repair,Adrar - Timimoun,"(27.46, 0.286)",4.3,8 years,200,98
183,Event Planning,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.2,4 years,226,86
184,Pest Control,Tiaret - Merine,"(35.371, 1.315)",4.1,5 years,197,50
185,Painting & Renovation,Biskra - El Hassi,"(34.85, 5.72)",4.6,8 years,208,84
186,Carpentry,Tiaret - Merine,"(35.371, 1.315)",4.0,7 years,239,71
187,Electrical Services,Algiers - Sidi Abdallah,"(36.745, 3.25)",4.2,5 years,212,69
188,Plumbing,Ouargla - Hassi Messaoud,"(32.49, 6.266)",3.7,8 years,195,99
189,Plumbing,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.2,4 years,249,64
190,Painting & Renovation,Constantine - Ziadia,"(36.365, 6.613)",4.8,10 years,213,93
191,Babysitting & Childcare,El Oued - Guemar,"(33.133, 6.9)",3.8,3 years,127,57
192,Painting & Renovation,El Oued - Guemar,"(33.133, 6.9)",4.4,5 years,156,83
193,Personal Care (Home Services),Constantine - Ziadia,"(36.365, 6.613)",4.3,1 years,100,59
194,Auto Repair,Biskra - El Hassi,"(34.85, 5.72)",4.8,7 years,186,84
195,Auto Repair,Batna - Aïn Touta,"(35.552, 5.804)",4.0,6 years,215,70
196,Plastering & Tiling,Annaba - El Hadjar,"(36.862, 7.76)",3.6,4 years,187,62
197,Painting & Renovation,Constantine - Ziadia,"(36.365, 6.613)",3.5,2 years,223,48
198,Painting & Renovation,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",3.8,4 years,158,72
199,Plastering & Tiling,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.6,7 years,253,71
200,Electrical Services,Oran - El Hassi,"(35.72, -0.63)",4.8,7 years,195,75
201,Auto Repair,Annaba - El Hadjar,"(36.862, 7.76)",4.0,2 years,210,57
202,Babysitting & Childcare,Medea - Bordj Menaiel,"(36.267, 2.741)",4.9,8 years,278,88
203,Personal Care (Home Services),Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.7,5 years,208,82
204,Babysitting & Childcare,Adrar - Timimoun,"(27.46, 0.286)",3.8,6 years,194,85
205,Personal Care (Home Services),Skikda - La Cloche,"(36.866, 6.906)",3.5,1 years,108,38
206,Carpentry,Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.1,6 years,238,74
207,Event Planning,Annaba - El Hadjar,"(36.862, 7.76)",5.0,1 years,255,52
208,Tutoring & Educational,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.2,3 years,105,31
209,Pest Control,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.7,7 years,196,66
210,Tutoring & Educational,Mostaganem - Ain Nouissy,"(35.929, 0.089)",4.2,10 years,206,76
211,Auto Repair,Ghardaia - M'zab Valley,"(32.485, 3.666)",3.9,1 years,137,51
212,Babysitting & Childcare,Oran - El Hassi,"(35.72, -0.63)",5.0,3 years,154,61
213,Auto Repair,Biskra - El Hassi,"(34.85, 5.72)",4.1,7 years,194,65
214,Pest Control,Biskra - El Hassi,"(34.85, 5.72)",4.3,6 years,259,69
215,Tailoring & Alteration,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.5,1 years,152,40
216,Babysitting & Childcare,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.0,6 years,295,59
217,Plumbing,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.6,9 years,310,68
218,Housekeeping / Cleaning,M'sila - Ksar El Hirane,"(35.45, 4.52)",3.6,8 years,228,104
219,Event Planning,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",3.7,10 years,295,102
220,Carpentry,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",3.6,10 years,297,80
221,Tailoring & Alteration,Constantine - Ziadia,"(36.365, 6.613)",3.7,8 years,221,71
222,Tailoring & Alteration,Mostaganem - Ain Nouissy,"(35.929, 0.089)",3.7,1 years,205,34
223,Personal Care (Home Services),Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.6,2 years,122,66
224,Auto Repair,Oran - El Hassi,"(35.72, -0.63)",5.0,5 years,142,63
225,Plumbing,Oran - El Hassi,"(35.72, -0.63)",4.4,2 years,117,32
226,Auto Repair,Adrar - Timimoun,"(27.46, 0.286)",3.6,6 years,243,82
227,Pest Control,Skikda - La Cloche,"(36.866, 6.906)",4.7,2 years,178,50
228,Personal Care (Home Services),Tizi Ouzou - Ait Ali,"(36.716, 4.044)",4.1,10 years,251,112
229,Tutoring & Educational,Ghardaia - M'zab Valley,"(32.485, 3.666)",4.0,1 years,212,44
230,Babysitting & Childcare,Biskra - El Hassi,"(34.85, 5.72)",4.9,2 years,218,48
231,Electrical Services,Skikda - La Cloche,"(36.866, 6.906)",4.0,8 years,183,60
232,Tailoring & Alteration,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.2,6 years,260,69
233,Plumbing,Medea - Bordj Menaiel,"(36.267, 2.741)",3.8,8 years,190,98
234,Pest Control,Blida - Chrea,"(36.482, 2.831)",4.0,1 years,211,27
235,Personal Care (Home Services),Ghardaia - M'zab Valley,"(32.485, 3.666)",4.1,4 years,256,71
236,Auto Repair,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)",4.5,5 years,130,70
237,Plumbing,Illizi - Djanet,"(26.269, 9.484)",4.3,6 years,252,61
238,Electrical Services,Adrar - Timimoun,"(27.46, 0.286)",4.5,1 years,175,33
239,Auto Repair,Skikda - La Cloche,"(36.866, 6.906)",3.9,1 years,113,40
240,Plumbing,Blida - Chrea,"(36.482, 2.831)",3.7,5 years,193,67
241,Auto Repair,Adrar - Timimoun,"(27.46, 0.286)",3.9,5 years,232,78
242,Plumbing,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.3,4 years,126,65
243,Pest Control,Adrar - Timimoun,"(27.46, 0.286)",4.0,10 years,203,81
244,Painting & Renovation,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.2,8 years,265,87
245,Home Appliance Repair,Constantine - Ziadia,"(36.365, 6.613)",4.7,4 years,264,54
246,Home Appliance Repair,Chlef - Tacheta,"(36.153, 1.333)",4.3,8 years,202,88
247,Babysitting & Childcare,Ouargla - Hassi Messaoud,"(32.49, 6.266)",3.6,7 years,271,90
248,Personal Care (Home Services),M'sila - Ksar El Hirane,"(35.45, 4.52)",3.8,2 years,115,55
249,Babysitting & Childcare,Ouargla - Hassi Messaoud,"(32.49, 6.266)",4.3,2 years,143,79
250,Tutoring & Educational,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)",4.8,2 years,93,42
251,Tutoring & Educational,Bejaia - Tizi Rached,"(36.761, 5.748)",4.0,4 years,151,68
252,Event Planning,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)",4.0,6 years,125,94
253,Home Appliance Repair,M'sila - Ksar El Hirane,"(35.45, 4.52)",4.6,10 years,323,92
254,Housekeeping / Cleaning,Batna - Aïn Touta,"(35.552, 5.804)",3.5,7 years,240,80
