service_id,city,provider_location_x,provider_location_y,service_category,review_avg,review_count,click_count,provider_age,provider_experience
1,Algiers,36.691783,3.134066,vehicleRepair,3.9,1,42,34,16
2,Algiers,36.607103,2.902899,pestControl,4.9,39,76,37,15
3,Algiers,36.657129,2.93493,carpentry,4.9,4,98,55,4
4,Algiers,36.662023,3.191233,furnitureAssembly,4.8,49,39,38,12
5,Algiers,36.63883,3.029087,plumbing,3.6,21,91,44,1
6,Algiers,36.838987,2.965405,pestControl,3.9,20,32,29,19
7,Algiers,36.62794,2.944702,itSupport,3.7,20,82,28,1
8,Algiers,36.835411,2.931528,electricity,3.8,1,68,25,20
9,Algiers,36.670499,3.028884,electricity,4.9,25,50,43,17
10,Algiers,36.678391,3.083544,homeSecurity,3.5,5,23,54,16
11,Algiers,36.826919,2.990041,vehicleRepair,3.3,49,74,26,1
12,Algiers,36.715458,3.101661,pestControl,4.3,17,36,41,1
13,Algiers,36.847747,3.003494,applianceInstallation,3.8,50,81,33,11
14,Algiers,36.683005,2.997907,gardening,3.4,1,85,51,2
15,Algiers,36.744252,3.123806,painting,4.4,46,24,29,5
16,Algiers,36.669884,2.922139,furnitureAssembly,3.2,29,22,27,10
17,Algiers,36.81773,2.935301,acRepair,3.6,7,13,28,6
18,Algiers,36.894029,3.033404,applianceInstallation,4.5,22,6,58,3
19,Algiers,36.882715,2.96065,houseCleaning,3.5,25,25,30,5
20,Algiers,36.673518,3.046427,houseCleaning,3.6,9,27,34,8
21,Algiers,36.786619,3.066026,carpentry,3.5,19,87,36,10
22,Algiers,36.693902,3.140853,windowCleaning,4.1,49,40,53,7
23,Algiers,36.697494,3.012201,houseCleaning,3.0,5,21,29,9
24,Algiers,36.780869,3.07362,itSupport,3.7,45,42,25,5
25,Algiers,36.769839,3.072081,electricity,3.3,4,73,46,18
26,Algiers,36.829202,3.103913,electricity,4.2,33,68,34,2
27,Algiers,36.716831,3.126405,houseCleaning,4.1,28,22,41,2
28,Algiers,36.714755,3.156097,gardening,4.2,21,38,36,1
29,Algiers,36.760795,3.185003,houseCleaning,3.7,39,49,32,1
30,Algiers,36.666004,3.022044,houseCleaning,4.6,32,27,49,9
31,Algiers,36.864041,2.998491,homeSecurity,4.0,36,44,37,3
32,Algiers,36.856348,3.085272,electricity,4.4,4,45,27,2
33,Algiers,36.746671,3.024365,pestControl,3.3,29,14,31,15
34,Algiers,36.873483,3.192767,plumbing,3.6,49,88,28,20
35,Algiers,36.705227,2.953859,itSupport,4.3,38,38,47,15
36,Algiers,36.767431,3.195005,gardening,4.8,37,82,57,11
37,Algiers,36.737379,3.094048,itSupport,4.6,30,69,50,16
38,Algiers,36.8313,3.047938,carpentry,4.2,28,64,46,11
39,Algiers,36.626236,3.066612,electricity,3.6,16,91,50,19
40,Algiers,36.804292,2.972672,gardening,4.6,44,44,34,1
41,Algiers,36.591855,3.070512,acRepair,4.5,19,29,45,15
42,Algiers,36.759467,3.172558,electricity,3.7,24,41,31,15
43,Algiers,36.796289,3.148199,applianceInstallation,4.0,28,47,52,12
44,Algiers,36.694271,2.921553,windowCleaning,4.8,11,55,31,4
45,Algiers,36.657535,3.017022,painting,5.0,8,91,31,3
46,Algiers,36.657681,3.116292,electricity,3.8,50,11,52,17
47,Algiers,36.708819,3.129489,electricity,3.8,15,43,38,8
48,Algiers,36.738831,3.096949,houseCleaning,4.1,26,58,60,15
49,Algiers,36.705575,3.159066,itSupport,3.4,30,54,29,20
50,Algiers,36.796546,3.050745,electricity,4.1,10,22,26,13
51,Algiers,36.72359,2.96709,pestControl,4.5,22,86,25,9
52,Algiers,36.722345,2.92829,plumbing,4.3,23,77,34,14
53,Algiers,36.603633,3.034829,interiorDesign,4.6,21,25,60,10
54,Algiers,36.659306,3.119091,vehicleRepair,3.6,14,41,36,10
55,Algiers,36.644517,2.925663,painting,4.6,31,25,37,8
56,Algiers,36.861801,2.920715,plumbing,3.2,21,21,29,6
57,Algiers,36.621948,2.976949,houseCleaning,3.3,26,100,33,16
58,Algiers,36.703033,3.174135,gardening,4.1,22,21,44,7
59,Algiers,36.885974,2.963689,furnitureAssembly,3.1,37,95,33,7
60,Algiers,36.679484,3.1117,plumbing,4.9,45,1,52,7
61,Algiers,36.79038,3.016181,pestControl,3.2,10,79,54,7
62,Algiers,36.687004,3.160573,plumbing,4.5,11,90,41,14
63,Algiers,36.628432,3.134013,windowCleaning,3.4,8,9,39,12
64,Algiers,36.875703,3.047164,interiorDesign,3.2,15,46,50,1
65,Algiers,36.846107,2.951348,plumbing,3.1,44,50,25,1
66,Algiers,36.865355,3.128772,interiorDesign,4.6,27,2,47,12
67,Algiers,36.875985,3.100686,homeSecurity,4.0,33,91,43,5
68,Algiers,36.72567,2.98595,furnitureAssembly,4.7,43,17,46,12
69,Algiers,36.707401,3.075317,applianceInstallation,4.1,29,6,42,4
70,Algiers,36.765981,2.954345,vehicleRepair,4.3,36,12,48,1
71,Algiers,36.862288,3.127321,carpentry,4.4,45,16,55,17
72,Algiers,36.674518,3.050991,houseCleaning,4.8,17,97,52,8
73,Algiers,36.707801,3.17592,carpentry,3.5,38,17,54,15
74,Algiers,36.674816,2.976431,windowCleaning,3.4,25,79,28,17
75,Algiers,36.897867,3.053423,painting,3.2,28,0,29,13
76,Algiers,36.589468,2.924155,itSupport,3.8,2,83,58,20
77,Algiers,36.835419,3.053293,furnitureAssembly,4.5,8,73,49,9
78,Algiers,36.630354,2.961347,gardening,4.0,7,25,42,3
79,Algiers,36.744329,3.024436,vehicleRepair,3.1,35,23,53,8
80,Algiers,36.876903,2.935881,houseCleaning,3.9,5,38,25,17
81,Algiers,36.792423,3.078242,vehicleRepair,3.6,39,65,53,12
82,Algiers,36.840212,3.027453,applianceInstallation,3.5,24,71,39,1
83,Algiers,36.666895,3.157507,interiorDesign,4.5,6,71,39,3
84,Algiers,36.894775,3.14099,windowCleaning,4.7,26,19,52,1
85,Algiers,36.721603,2.953201,windowCleaning,3.2,26,22,36,3
86,Algiers,36.731858,3.098707,pestControl,4.0,44,26,47,8
87,Algiers,36.716192,3.036667,interiorDesign,3.5,41,7,46,7
88,Algiers,36.74507,3.15679,houseCleaning,3.7,27,23,41,6
89,Algiers,36.620752,2.972317,vehicleRepair,4.7,41,21,38,13
90,Algiers,36.786985,2.999852,itSupport,3.8,36,39,25,19
91,Algiers,36.77271,2.940914,interiorDesign,4.1,38,64,48,17
92,Algiers,36.871541,2.932881,homeSecurity,3.4,20,60,33,19
93,Algiers,36.703201,2.927492,acRepair,3.9,33,30,38,5
94,Algiers,36.803475,2.971113,carpentry,3.8,2,45,30,19
95,Algiers,36.689601,2.903039,acRepair,3.6,16,39,47,11
96,Algiers,36.643248,3.010343,painting,3.4,33,9,43,14
97,Algiers,36.645381,2.986081,vehicleRepair,4.2,18,78,60,18
98,Algiers,36.759901,3.107733,acRepair,4.5,39,69,35,13
99,Algiers,36.895571,2.981308,furnitureAssembly,3.2,30,24,42,16
100,Algiers,36.732281,3.011213,acRepair,3.8,38,50,58,16
101,Algiers,36.705533,3.122773,pestControl,3.7,24,84,43,12
102,Algiers,36.738366,3.017115,pestControl,3.0,4,91,43,12
103,Algiers,36.759058,3.00942,acRepair,3.5,39,21,51,17
104,Algiers,36.671195,2.934592,windowCleaning,3.7,17,85,55,18
105,Algiers,36.71992,2.922525,painting,4.5,36,6,32,3
106,Algiers,36.846004,2.938906,acRepair,3.3,31,23,46,6
107,Algiers,36.672746,3.139712,houseCleaning,3.1,4,8,33,4
108,Algiers,36.834184,2.971169,painting,4.5,36,94,54,6
109,Algiers,36.758114,3.21203,itSupport,4.4,18,100,37,12
110,Algiers,36.696126,3.109171,applianceInstallation,3.2,14,5,40,9
111,Algiers,36.649849,3.036705,electricity,4.9,24,65,43,3
112,Algiers,36.846109,3.198836,plumbing,3.3,14,82,37,7
113,Algiers,36.82466,2.900768,homeSecurity,5.0,39,59,44,7
114,Algiers,36.672328,3.124503,gardening,3.6,28,74,28,18
115,Algiers,36.81253,3.064097,windowCleaning,4.8,18,13,60,19
116,Algiers,36.719266,3.125505,pestControl,4.4,13,44,26,11
117,Algiers,36.654575,3.100334,itSupport,3.3,30,17,54,17
118,Algiers,36.67168,3.101396,interiorDesign,4.0,26,89,45,19
119,Algiers,36.869353,3.145074,electricity,3.6,22,19,37,15
120,Algiers,36.828119,2.99453,windowCleaning,3.8,27,82,31,18
121,Algiers,36.691968,2.948035,acRepair,4.3,28,9,56,6
122,Algiers,36.600193,3.001764,pestControl,4.4,50,97,56,18
123,Algiers,36.89219,3.119504,interiorDesign,3.1,15,73,25,9
124,Algiers,36.726708,3.106709,itSupport,4.3,15,51,59,13
125,Algiers,36.890522,3.138986,painting,4.6,49,62,56,2
126,Algiers,36.61474,3.126715,homeSecurity,4.5,19,9,60,1
127,Algiers,36.66098,3.142249,carpentry,3.4,30,45,25,11
128,Algiers,36.850123,3.076165,houseCleaning,3.7,41,35,49,15
129,Algiers,36.776466,3.033064,houseCleaning,3.4,30,44,43,3
130,Algiers,36.719709,3.002083,houseCleaning,4.9,50,96,36,5
131,Algiers,36.666186,2.929125,pestControl,5.0,31,47,42,7
132,Algiers,36.79131,2.996194,acRepair,4.3,36,94,57,4
133,Algiers,36.674041,3.012566,interiorDesign,3.3,41,36,38,1
134,Algiers,36.795676,2.918757,electricity,4.8,35,81,50,15
135,Algiers,36.693708,3.125616,interiorDesign,3.8,41,17,56,14
136,Algiers,36.680483,3.055484,itSupport,4.1,21,34,47,20
137,Algiers,36.681349,3.11889,gardening,5.0,29,88,36,4
138,Algiers,36.759474,3.047204,interiorDesign,4.0,42,34,38,11
139,Algiers,36.69566,2.914737,acRepair,3.9,35,59,51,13
140,Algiers,36.723292,3.197865,itSupport,3.1,46,52,58,8
141,Algiers,36.827469,2.926244,houseCleaning,4.3,9,81,37,1
142,Algiers,36.883592,3.088269,homeSecurity,3.6,30,7,55,17
143,Algiers,36.878569,2.912404,furnitureAssembly,4.9,9,19,57,12
144,Algiers,36.836477,3.022598,painting,3.2,8,74,52,6
145,Algiers,36.616384,2.971958,windowCleaning,4.3,12,82,44,13
146,Algiers,36.763801,2.964637,acRepair,4.2,2,15,29,17
147,Algiers,36.771783,3.039662,vehicleRepair,4.8,37,68,34,12
148,Algiers,36.761586,3.015807,gardening,3.6,14,62,35,20
149,Algiers,36.846473,3.147815,acRepair,3.1,8,20,37,14
150,Algiers,36.715096,3.019104,homeSecurity,4.8,26,69,55,4
151,Algiers,36.801746,2.935158,plumbing,3.4,39,76,51,19
152,Algiers,36.856745,3.165632,painting,3.2,44,88,35,20
153,Algiers,36.642265,2.907163,homeSecurity,3.7,15,32,25,20
154,Algiers,36.77866,3.124545,pestControl,4.2,32,51,45,3
155,Algiers,36.813744,3.096309,electricity,3.1,22,75,44,6
156,Algiers,36.596686,2.899896,painting,3.6,12,96,41,2
157,Algiers,36.822061,2.99251,painting,4.4,33,8,55,1
158,Algiers,36.882444,3.037406,windowCleaning,4.2,37,77,49,6
159,Algiers,36.736225,3.113618,windowCleaning,4.2,37,80,47,8
160,Algiers,36.885285,3.010595,plumbing,3.8,50,24,59,11
161,Algiers,36.702759,2.998013,carpentry,5.0,27,51,48,12
162,Algiers,36.669979,3.140554,electricity,5.0,17,36,58,9
163,Algiers,36.635241,2.965094,furnitureAssembly,5.0,48,10,32,13
164,Algiers,36.618425,3.101985,plumbing,4.5,44,26,27,7
165,Algiers,36.779051,3.160465,houseCleaning,3.7,33,11,32,15
166,Algiers,36.810161,3.18748,acRepair,4.9,10,3,32,4
167,Algiers,36.834401,3.150417,plumbing,4.7,49,58,46,9
168,Algiers,36.601639,3.107673,pestControl,3.8,3,30,28,1
169,Algiers,36.767587,2.94372,houseCleaning,3.4,41,99,40,14
170,Algiers,36.790547,3.024947,acRepair,4.1,13,53,30,11
171,Algiers,36.857685,2.973657,painting,3.6,2,20,30,17
172,Algiers,36.825641,3.093612,interiorDesign,4.8,28,63,39,18
173,Algiers,36.709838,3.091603,windowCleaning,4.6,28,54,52,5
174,Algiers,36.87458,3.145446,furnitureAssembly,3.5,8,50,46,20
175,Algiers,36.666196,3.03887,applianceInstallation,3.8,8,91,56,14
176,Algiers,36.620489,3.171403,pestControl,4.2,10,3,57,1
177,Algiers,36.855731,3.127043,interiorDesign,4.7,3,87,38,3
178,Algiers,36.804982,3.099883,pestControl,3.9,37,25,52,11
179,Algiers,36.733883,3.065352,homeSecurity,4.0,19,93,54,10
180,Algiers,36.75401,3.053253,interiorDesign,4.9,11,18,27,18
181,Algiers,36.82929,3.14699,houseCleaning,3.8,33,58,30,13
182,Algiers,36.60305,2.935444,carpentry,3.0,48,10,30,3
183,Algiers,36.660081,2.949913,vehicleRepair,3.8,15,68,46,20
184,Algiers,36.862106,3.021621,interiorDesign,4.3,6,26,27,7
185,Algiers,36.747739,3.103863,applianceInstallation,4.6,31,83,58,3
186,Algiers,36.87689,3.074402,applianceInstallation,3.1,6,63,59,4
187,Algiers,36.777053,3.18859,pestControl,4.8,26,0,34,11
188,Algiers,36.806333,3.148219,windowCleaning,4.8,27,7,35,7
189,Algiers,36.90335,3.149717,electricity,4.2,45,68,37,10
190,Algiers,36.675421,2.904014,itSupport,4.1,8,38,41,11
191,Algiers,36.62194,3.136349,interiorDesign,3.6,23,60,55,5
192,Algiers,36.726459,2.921475,furnitureAssembly,4.0,48,31,40,20
193,Algiers,36.786751,2.979712,applianceInstallation,3.1,29,42,43,3
194,Algiers,36.686183,3.00041,furnitureAssembly,4.5,47,76,48,11
195,Algiers,36.798756,3.136733,electricity,4.4,12,41,32,10
