user_id,city,location_x,location_y,age,gender,service_categories_interest,reviewed_service_ids,click_count_per_service,total_service_views,clicked
1,Algiers,36.782019,2.901081,32,Male,"['plumbing', 'acRepair', 'painting']",[],{},5,0
2,Algiers,36.657112,3.144146,19,Female,"['acRepair', 'painting']",[],{},7,0
3,Algiers,36.777294,3.061029,36,Male,"['windowCleaning', 'vehicleRepair', 'houseCleaning']","[120, 23]","{120: 2, 23: 10}",22,1
4,Algiers,36.788201,3.12506,28,Male,"['acRepair', 'painting', 'furnitureAssembly', 'houseCleaning']",[87],{87: 4},7,1
5,Algiers,36.646921,3.11282,22,Male,"['plumbing', 'vehicleRepair', 'carpentry']","[138, 120, 13]","{138: 10, 120: 2, 13: 6}",23,1
6,Algiers,36.624206,2.937496,39,Male,"['electricity', 'painting', 'homeSecurity']",[154],{154: 8},8,1
7,Algiers,36.835103,3.045599,59,Male,"['vehicleRepair', 'houseCleaning', 'painting']","[179, 13]","{179: 6, 13: 10}",26,1
8,Algiers,36.811375,3.19267,33,Male,"['gardening', 'vehicleRepair', 'plumbing']",[51],{51: 1},7,1
9,Algiers,36.828295,3.0525,53,Female,"['windowCleaning', 'painting', 'pestControl', 'carpentry']","[141, 49]","{141: 8, 49: 2}",12,1
10,Algiers,36.766564,3.005795,28,Female,"['windowCleaning', 'electricity']",[161],{161: 4},7,1
11,Algiers,36.782039,2.919912,22,Male,"['acRepair', 'interiorDesign', 'windowCleaning', 'electricity']",[180],{180: 8},17,1
12,Algiers,36.773641,2.973621,19,Female,"['gardening', 'pestControl']","[59, 162, 1]","{59: 9, 162: 10, 1: 3}",24,1
13,Algiers,36.784244,2.970623,60,Female,"['gardening', 'plumbing', 'vehicleRepair']","[123, 6, 127]","{123: 2, 6: 2, 127: 1}",6,1
14,Algiers,36.911504,3.177071,32,Female,"['electricity', 'interiorDesign']",[55],{55: 5},9,1
15,Algiers,36.808914,3.047115,57,Female,"['houseCleaning', 'acRepair', 'interiorDesign']",[3],{3: 6},10,1
16,Algiers,36.619493,2.923154,45,Female,"['furnitureAssembly', 'electricity', 'painting', 'acRepair']",[],{},6,0
17,Algiers,36.833789,2.994582,24,Male,"['windowCleaning', 'electricity', 'plumbing', 'applianceInstallation']",[],{},0,0
18,Algiers,36.885843,3.073476,60,Male,"['itSupport', 'painting', 'houseCleaning']",[159],{159: 4},4,1
19,Algiers,36.664234,2.938284,23,Male,"['electricity', 'acRepair', 'homeSecurity']",[4],{4: 10},15,1
20,Algiers,36.867126,3.132664,25,Female,"['interiorDesign', 'furnitureAssembly']","[128, 37, 106]","{128: 10, 37: 9, 106: 1}",21,1
21,Algiers,36.844601,2.921098,25,Female,"['itSupport', 'furnitureAssembly', 'windowCleaning']",[169],{169: 9},12,1
22,Algiers,36.875464,2.910686,25,Female,"['gardening', 'carpentry', 'houseCleaning']","[40, 187, 188]","{40: 1, 187: 6, 188: 2}",18,1
23,Algiers,36.683049,2.994477,61,Female,"['windowCleaning', 'vehicleRepair']",[30],{30: 5},10,1
24,Algiers,36.64018,2.957574,53,Female,"['itSupport', 'carpentry']",[],{},4,0
25,Algiers,36.671106,2.946178,54,Female,"['applianceInstallation', 'itSupport', 'plumbing', 'windowCleaning']",[],{},5,0
26,Algiers,36.764013,2.92045,35,Male,"['interiorDesign', 'itSupport', 'plumbing']","[50, 74, 97]","{50: 7, 74: 1, 97: 5}",17,1
27,Algiers,36.805941,3.03162,39,Female,"['plumbing', 'vehicleRepair', 'interiorDesign']","[118, 29]","{118: 8, 29: 2}",18,1
28,Algiers,36.676322,2.960946,27,Male,"['acRepair', 'vehicleRepair']","[127, 54]","{127: 1, 54: 2}",5,1
29,Algiers,36.762483,2.975891,40,Male,"['itSupport', 'furnitureAssembly', 'homeSecurity', 'plumbing']",[],{},9,0
30,Algiers,36.681173,3.048291,22,Female,"['carpentry', 'plumbing', 'houseCleaning', 'pestControl']","[151, 168]","{151: 6, 168: 9}",16,1
31,Algiers,36.663528,3.12574,63,Male,"['furnitureAssembly', 'applianceInstallation', 'carpentry', 'plumbing']",[145],{145: 8},8,1
32,Algiers,36.751275,3.13805,37,Female,"['pestControl', 'homeSecurity', 'plumbing', 'houseCleaning']","[178, 168]","{178: 10, 168: 8}",23,1
33,Algiers,36.872016,3.108616,50,Male,"['applianceInstallation', 'pestControl']","[64, 1]","{64: 7, 1: 4}",15,1
34,Algiers,36.80664,3.109088,31,Male,"['furnitureAssembly', 'itSupport']","[70, 73, 113]","{70: 4, 73: 8, 113: 9}",31,1
35,Algiers,36.68296,2.903759,48,Female,"['plumbing', 'vehicleRepair']",[186],{186: 10},12,1
36,Algiers,36.67396,2.917135,29,Female,"['applianceInstallation', 'interiorDesign', 'windowCleaning']",[],{},4,0
37,Algiers,36.765236,2.932672,22,Female,"['gardening', 'interiorDesign', 'vehicleRepair', 'carpentry']","[147, 30]","{147: 10, 30: 7}",22,1
38,Algiers,36.632251,3.073246,49,Female,"['interiorDesign', 'homeSecurity', 'vehicleRepair']","[160, 94, 101]","{160: 10, 94: 1, 101: 3}",15,1
39,Algiers,36.651431,3.150602,18,Male,"['plumbing', 'furnitureAssembly', 'electricity', 'painting']",[12],{12: 8},18,1
40,Algiers,36.696081,2.924955,18,Male,"['electricity', 'painting', 'carpentry']",[],{},2,0
41,Algiers,36.63998,2.977022,19,Female,"['gardening', 'plumbing']","[174, 35, 162]","{174: 1, 35: 1, 162: 5}",15,1
42,Algiers,36.782614,3.047618,19,Female,"['plumbing', 'electricity']",[12],{12: 7},8,1
43,Algiers,36.790806,3.180807,48,Male,"['painting', 'homeSecurity', 'vehicleRepair']",[197],{197: 10},17,1
44,Algiers,36.747168,2.953793,27,Female,"['furnitureAssembly', 'interiorDesign']",[94],{94: 8},12,1
45,Algiers,36.891549,2.970618,58,Female,"['gardening', 'interiorDesign', 'vehicleRepair']",[],{},9,0
46,Algiers,36.740733,3.146363,49,Male,"['acRepair', 'applianceInstallation']","[119, 54]","{119: 8, 54: 4}",19,1
47,Algiers,36.719727,2.94796,53,Male,"['acRepair', 'interiorDesign', 'painting']",[99],{99: 5},7,1
48,Algiers,36.808463,3.132303,52,Male,"['vehicleRepair', 'itSupport']","[60, 183, 164]","{60: 8, 183: 5, 164: 6}",22,1
49,Algiers,36.709029,3.14668,59,Male,"['acRepair', 'pestControl', 'applianceInstallation']","[7, 141, 126]","{7: 6, 141: 10, 126: 4}",24,1
50,Algiers,36.860529,3.177042,22,Male,"['itSupport', 'acRepair', 'applianceInstallation', 'gardening']","[162, 11, 152]","{162: 8, 11: 2, 152: 8}",23,1
51,Algiers,36.850564,2.983729,22,Male,"['furnitureAssembly', 'pestControl', 'vehicleRepair', 'painting']",[],{},6,0
52,Algiers,36.733958,3.159496,42,Male,"['applianceInstallation', 'windowCleaning', 'painting', 'pestControl']",[],{},3,0
