user_id,city,location_x,location_y,age,gender,service_categories_interest,reviewed_service_ids,click_count_per_service,total_service_views,clicked
1,Algiers,36.863548,3.168535,34,Male,"['pestControl', 'houseCleaning']","[6, 86, 154]","{6: 7, 86: 1, 154: 8}",17,1
2,Algiers,36.869598,3.013093,55,Male,"['electricity', 'houseCleaning']","[181, 48, 50]","{181: 6, 48: 1, 50: 4}",15,1
3,Algiers,36.777095,2.937226,39,Male,"['carpentry', 'houseCleaning']",[],{},6,0
4,Algiers,36.811242,2.944797,56,Female,"['applianceInstallation', 'houseCleaning']",[181],{181: 3},3,1
5,Algiers,36.823199,2.924206,60,Female,"['plumbing', 'interiorDesign', 'houseCleaning']","[123, 34, 118]","{123: 2, 34: 8, 118: 7}",27,1
6,Algiers,36.725632,3.135061,19,Female,"['painting', 'itSupport', 'houseCleaning']",[],{},2,0
7,Algiers,36.731565,3.204281,53,Male,"['vehicleRepair', 'houseCleaning']","[72, 20, 165]","{72: 9, 20: 3, 165: 8}",29,1
8,Algiers,36.698259,3.106788,59,Male,"['furnitureAssembly', 'pestControl', 'houseCleaning']","[154, 48, 131]","{154: 9, 48: 7, 131: 6}",31,1
9,Algiers,36.646995,3.125678,44,Male,"['houseCleaning', 'homeSecurity']","[129, 165]","{129: 4, 165: 4}",14,1
10,Algiers,36.797429,2.970037,53,Male,"['applianceInstallation', 'carpentry', 'houseCleaning']","[71, 13, 165]","{71: 3, 13: 1, 165: 10}",21,1
11,Algiers,36.617467,3.061221,60,Female,"['windowCleaning', 'houseCleaning']","[169, 130, 29]","{169: 5, 130: 7, 29: 5}",27,1
12,Algiers,36.678577,2.954597,49,Female,"['pestControl', 'houseCleaning']","[72, 122, 2]","{72: 4, 122: 7, 2: 9}",20,1
13,Algiers,36.717785,3.029475,38,Male,"['electricity', 'houseCleaning']","[26, 107, 119]","{26: 1, 107: 2, 119: 2}",12,1
14,Algiers,36.839238,2.9222,58,Female,"['gardening', 'houseCleaning']","[141, 29]","{141: 1, 29: 6}",8,1
