User ID,Age,Gender,Location (City - Subarea),"Coordinates (X, Y)",Service Category Preferences,"Ratings (Plumbing, Housekeeping, etc.)",Number of Requests
1,28,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Carpentry, Electrical Services, Auto Repair, Pest Control, Event Planning","Carpentry (3.5), Electrical Services (3.5), Auto Repair (3.8), Pest Control (4.7), Event Planning (4.5)",5
2,54,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Auto Repair, Event Planning","Auto Repair (3.8), Event Planning (4.2)",24
3,25,Female,Annaba - El Hadjar,"(36.862, 7.76)","Plastering & Tiling, Electrical Services, Home Appliance Repair, Pest Control, Personal Care (Home Services)","Plastering & Tiling (3.6), Electrical Services (3.4), Home Appliance Repair (4.1), Pest Control (3.4), Personal Care (Home Services) (3.4)",28
4,51,Male,Blida - Chrea,"(36.482, 2.831)","Housekeeping / Cleaning, Painting & Renovation, Event Planning, Carpentry","Housekeeping / Cleaning (3.0), Painting & Renovation (3.1), Event Planning (4.0), Carpentry (4.7)",25
5,49,Male,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Event Planning, Personal Care (Home Services), Auto Repair","Event Planning (3.6), Personal Care (Home Services) (4.9), Auto Repair (3.4)",8
6,21,Female,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Plumbing, Housekeeping / Cleaning, Carpentry","Plumbing (3.9), Housekeeping / Cleaning (3.9), Carpentry (4.1)",6
7,51,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Plumbing, Auto Repair, Babysitting & Childcare, Event Planning, Housekeeping / Cleaning","Plumbing (3.7), Auto Repair (3.4), Babysitting & Childcare (4.6), Event Planning (3.1), Housekeeping / Cleaning (4.5)",30
8,29,Male,Oran - El Hassi,"(35.72, -0.63)","Plastering & Tiling, Tailoring & Alteration, Home Appliance Repair, Auto Repair, Electrical Services","Plastering & Tiling (3.9), Tailoring & Alteration (3.8), Home Appliance Repair (3.5), Auto Repair (3.2), Electrical Services (4.7)",19
9,52,Male,Oran - El Hassi,"(35.72, -0.63)","Painting & Renovation, Plastering & Tiling, Home Appliance Repair","Painting & Renovation (3.9), Plastering & Tiling (3.8), Home Appliance Repair (4.3)",30
10,51,Female,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Plumbing, Tutoring & Educational","Plumbing (3.0), Tutoring & Educational (4.1)",25
11,45,Male,Illizi - Djanet,"(26.269, 9.484)","Electrical Services, Pest Control","Electrical Services (4.6), Pest Control (4.3)",28
12,47,Female,Oran - El Hassi,"(35.72, -0.63)","Carpentry, Housekeeping / Cleaning","Carpentry (3.2), Housekeeping / Cleaning (4.5)",27
13,58,Female,Illizi - Djanet,"(26.269, 9.484)","Auto Repair, Electrical Services, Pest Control, Housekeeping / Cleaning","Auto Repair (4.4), Electrical Services (3.5), Pest Control (4.5), Housekeeping / Cleaning (3.0)",6
