epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8614,2.42979,12.24,2.2148,0,0,0,0,1.65654,235.093,2.03682,0.00021671,0.00021671,0.00021671
2,44.3406,1.82903,6.7338,1.5741,0.00042,0.125,0.00026,5e-05,1.47981,8.97178,1.54677,0.00044452,0.00044452,0.00044452
3,53.2259,1.61337,5.31272,1.35442,0.00042,0.125,0.00026,5e-05,1.69051,inf,1.90393,0.000666554,0.000666554,0.000666554
4,61.0517,1.66828,5.82455,1.49783,0.00042,0.125,0.00026,5e-05,1.72509,inf,1.95987,0.000882812,0.000882812,0.000882812
5,68.7976,1.81515,4.43305,1.6912,0.00127,0.375,0.00606,0.00189,1.66128,6.74627,1.74496,0.00109329,0.00109329,0.00109329
6,76.0137,1.8699,4.62535,1.76894,0.07343,0.375,0.23247,0.04396,2.32689,4.01399,2.54477,0.001298,0.001298,0.001298
7,83.1999,1.79761,4.11334,1.56797,0.53658,0.375,0.03198,0.00819,2.24056,4.48349,2.37875,0.00149693,0.00149693,0.00149693
8,90.0863,1.86623,5.54104,1.82976,0.53658,0.375,0.03198,0.00819,2.9136,inf,222.34,0.0015226,0.0015226,0.0015226
9,97.0026,1.95773,5.49957,1.93228,0.53658,0.375,0.03198,0.00819,nan,nan,nan,0.00150197,0.00150197,0.00150197
10,103.779,2.08478,4.15727,1.81649,0.53658,0.375,0.03198,0.00819,nan,nan,nan,0.00148134,0.00148134,0.00148134
11,110.839,1.69978,3.36277,1.50735,0.53658,0.375,0.03198,0.00819,nan,nan,nan,0.00146071,0.00146071,0.00146071
12,118.281,1.55716,2.95019,1.5081,0.00526,0.16667,0.00268,0.00055,nan,nan,nan,0.00144008,0.00144008,0.00144008
13,125.428,1.67811,2.15174,1.58239,0.00526,0.16667,0.00268,0.00055,nan,nan,nan,0.00141945,0.00141945,0.00141945
14,132.584,1.63269,2.16493,1.59343,0.00526,0.16667,0.00268,0.00055,nan,nan,nan,0.00139882,0.00139882,0.00139882
15,139.73,1.78129,2.51682,1.66408,0.16022,0.25,0.08512,0.02781,nan,nan,nan,0.00137819,0.00137819,0.00137819
16,146.811,1.65179,3.06996,1.67722,0.00129,0.33333,0.01367,0.00775,2.22033,4.506,12.9082,0.00135756,0.00135756,0.00135756
17,153.778,1.54869,4.46756,1.60058,0.00089,0.33333,0.02436,0.00715,1.94001,4.81065,2.66627,0.00133693,0.00133693,0.00133693
18,160.738,1.54826,4.61642,1.64936,0.00044,0.16667,0.00035,6e-05,3.07909,6.52734,3.3262,0.0013163,0.0013163,0.0013163
19,167.592,1.6458,2.05399,1.63259,0.00079,0.16667,0.00058,0.00023,3.44287,7.31637,5.31446,0.00129568,0.00129568,0.00129568
20,174.542,1.4418,1.6504,1.5385,0.85747,0.125,0.20952,0.05241,2.89437,3.68232,2.94994,0.00127505,0.00127505,0.00127505
21,182.352,1.5036,1.54455,1.56709,0.81267,0.66667,0.72039,0.34058,1.45835,2.63026,1.77247,0.00125442,0.00125442,0.00125442
22,190.267,1.52288,1.5861,1.68483,0.81267,0.66667,0.72039,0.34058,1.45835,2.63026,1.77247,0.00123379,0.00123379,0.00123379
23,198.342,1.5283,1.25398,1.5962,0.48485,0.62681,0.67475,0.39378,1.02844,1.62125,1.46213,0.00121316,0.00121316,0.00121316
24,206.491,1.44258,1.26278,1.5501,0.90928,0.83333,0.90071,0.55272,1.17165,1.42359,1.78878,0.00119253,0.00119253,0.00119253
25,214.241,1.47835,1.33644,1.58318,0.80313,0.80671,0.9125,0.62916,1.04219,1.70981,1.45247,0.0011719,0.0011719,0.0011719
26,222.157,1.63349,1.67311,1.71152,0.99028,0.5,0.87063,0.67656,0.96879,1.51868,1.3654,0.00115127,0.00115127,0.00115127
27,230.093,1.42295,1.29138,1.48812,0.72067,1,0.995,0.76722,1.03586,1.12113,1.3967,0.00113064,0.00113064,0.00113064
28,238.089,1.3439,1.04986,1.4059,0.93829,1,0.995,0.70296,1.18849,1.0924,1.40513,0.00111001,0.00111001,0.00111001
29,245.175,1.42969,1.00849,1.53501,0.93385,0.97993,0.995,0.72186,1.14311,0.97609,1.38243,0.00108938,0.00108938,0.00108938
30,252.301,1.40795,1.00561,1.514,0.93385,0.97993,0.995,0.72186,1.14311,0.97609,1.38243,0.00106876,0.00106876,0.00106876
31,259.118,1.36813,0.97578,1.3941,0.94586,1,0.995,0.70864,1.15781,0.84278,1.4503,0.00104813,0.00104813,0.00104813
32,265.924,1.36994,0.92565,1.41243,0.97165,1,0.995,0.7724,1.11646,0.76287,1.45686,0.0010275,0.0010275,0.0010275
33,273.86,1.41024,0.98751,1.62163,0.97711,1,0.995,0.74157,0.99224,0.77012,1.287,0.00100687,0.00100687,0.00100687
34,281.006,1.32741,0.95674,1.43053,0.9859,1,0.995,0.78986,0.94933,0.73332,1.25433,0.000986239,0.000986239,0.000986239
35,289.072,1.32751,0.85198,1.4644,0.97237,1,0.995,0.80048,0.93433,0.71617,1.23732,0.00096561,0.00096561,0.00096561
36,297.068,1.34389,0.91234,1.46031,0.98571,1,0.995,0.74279,0.8868,0.70391,1.20041,0.000944981,0.000944981,0.000944981
37,304.229,1.35733,0.87977,1.45188,0.96849,1,0.995,0.70955,1.1806,0.72041,1.3876,0.000924352,0.000924352,0.000924352
38,311.346,1.33324,1.15061,1.40351,0.96849,1,0.995,0.70955,1.1806,0.72041,1.3876,0.000903722,0.000903722,0.000903722
39,318.631,1.36832,0.86529,1.39437,0.96965,1,0.995,0.70494,1.29242,0.71371,1.50918,0.000883093,0.000883093,0.000883093
40,325.989,1.2415,0.76507,1.33436,0.98004,1,0.995,0.74147,1.11851,0.64816,1.38068,0.000862464,0.000862464,0.000862464
41,333.629,1.27977,0.86743,1.40743,0.98046,1,0.995,0.74552,0.96951,0.70557,1.28105,0.000841835,0.000841835,0.000841835
42,341.443,1.23004,0.76198,1.23386,0.98318,1,0.995,0.72864,0.96082,0.71706,1.27648,0.000821206,0.000821206,0.000821206
43,349.242,1.24432,0.78867,1.24885,0.97475,1,0.995,0.74074,0.92102,0.6919,1.26257,0.000800577,0.000800577,0.000800577
44,357.001,1.18295,0.77734,1.23356,0.97507,1,0.995,0.77464,0.95372,0.64525,1.28432,0.000779948,0.000779948,0.000779948
45,364.775,1.1997,0.68216,1.29109,0.98503,1,0.995,0.80544,1.01501,0.61273,1.33243,0.000759318,0.000759318,0.000759318
46,372.977,1.22875,0.74728,1.38324,0.98503,1,0.995,0.80544,1.01501,0.61273,1.33243,0.000738689,0.000738689,0.000738689
47,381.779,1.21191,0.72549,1.35055,0.98375,1,0.995,0.76854,1.05475,0.63695,1.37596,0.00071806,0.00071806,0.00071806
48,388.762,1.19527,0.72382,1.36559,0.97342,1,0.995,0.74845,1.04723,0.59485,1.3601,0.000697431,0.000697431,0.000697431
49,395.654,1.19455,0.76611,1.27816,0.96791,1,0.995,0.78991,0.98013,0.58388,1.28621,0.000676802,0.000676802,0.000676802
50,402.92,1.1406,0.70536,1.25631,0.97062,1,0.995,0.78978,1.02116,0.56885,1.2909,0.000656173,0.000656173,0.000656173
51,410.3,1.19238,0.69398,1.29493,0.97408,1,0.995,0.71308,1.14013,0.56758,1.35454,0.000635544,0.000635544,0.000635544
52,417.471,1.2287,0.68647,1.32005,0.97129,1,0.995,0.73329,1.12306,0.55472,1.31889,0.000614915,0.000614915,0.000614915
53,425.047,1.29989,0.71701,1.36914,0.96759,1,0.995,0.79465,0.96765,0.53469,1.25099,0.000594286,0.000594286,0.000594286
54,432.558,1.26119,0.69636,1.35385,0.96759,1,0.995,0.79465,0.96765,0.53469,1.25099,0.000573656,0.000573656,0.000573656
55,440.1,1.16637,0.66251,1.23437,0.97021,1,0.995,0.81866,0.88698,0.52022,1.23339,0.000553027,0.000553027,0.000553027
56,448.325,1.17474,0.71991,1.25008,0.97754,1,0.995,0.80645,0.87969,0.53325,1.24593,0.000532398,0.000532398,0.000532398
57,455.691,1.20907,0.66206,1.3205,0.97852,1,0.995,0.78177,0.92064,0.52577,1.30571,0.000511769,0.000511769,0.000511769
58,463.067,1.22502,0.67734,1.33432,0.97687,1,0.995,0.78546,0.97332,0.54657,1.35748,0.00049114,0.00049114,0.00049114
59,470.354,1.17723,0.70798,1.30461,0.97662,1,0.995,0.8039,0.95306,0.53136,1.35388,0.000470511,0.000470511,0.000470511
60,477.6,1.1786,0.72959,1.29299,0.97321,1,0.995,0.77694,0.92243,0.53275,1.33981,0.000449882,0.000449882,0.000449882
61,485.149,1.1096,0.64605,1.24171,0.9688,1,0.995,0.78808,0.89659,0.52718,1.30615,0.000429253,0.000429253,0.000429253
62,492.661,1.1737,0.6943,1.27,0.9688,1,0.995,0.78808,0.89659,0.52718,1.30615,0.000408623,0.000408623,0.000408623
63,499.929,1.11974,0.655,1.24168,0.9663,1,0.995,0.80111,0.91465,0.54974,1.29542,0.000387994,0.000387994,0.000387994
64,507.254,1.13065,0.74478,1.24959,0.96614,1,0.995,0.79203,0.94261,0.5574,1.29828,0.000367365,0.000367365,0.000367365
65,514.694,1.10346,0.63125,1.21404,0.96907,1,0.995,0.78579,0.96819,0.57713,1.31206,0.000346736,0.000346736,0.000346736
66,522.041,1.10221,0.65753,1.21971,0.97188,1,0.995,0.78647,0.99409,0.59004,1.32791,0.000326107,0.000326107,0.000326107
67,529.027,1.19142,0.64456,1.23023,0.97395,1,0.995,0.79242,1.01463,0.57292,1.32915,0.000305478,0.000305478,0.000305478
68,536.183,1.1179,0.65455,1.2604,0.97396,1,0.995,0.79235,1.01883,0.56773,1.30416,0.000284849,0.000284849,0.000284849
69,543.399,1.08487,0.60739,1.20644,0.9735,1,0.995,0.78207,0.99719,0.54209,1.28971,0.00026422,0.00026422,0.00026422
70,550.226,1.05635,0.61045,1.24431,0.9735,1,0.995,0.78207,0.99719,0.54209,1.28971,0.00024359,0.00024359,0.00024359
71,634.488,1.04691,0.6229,1.27199,0.97104,1,0.995,0.77339,0.97691,0.52911,1.27295,0.000222961,0.000222961,0.000222961
72,642.666,1.15398,0.62054,1.28406,0.97152,1,0.995,0.79754,0.96822,0.52026,1.2757,0.000202332,0.000202332,0.000202332
73,649.832,1.10898,0.56585,1.26822,0.97047,1,0.995,0.80166,0.93788,0.52538,1.2727,0.000181703,0.000181703,0.000181703
74,657.381,1.10491,0.57976,1.25445,0.97024,1,0.995,0.80314,0.94686,0.52648,1.29266,0.000161074,0.000161074,0.000161074
75,665.383,1.08777,0.60477,1.24927,0.9709,1,0.995,0.77577,0.94833,0.51887,1.30638,0.000140445,0.000140445,0.000140445
76,672.751,1.10114,0.62809,1.27578,0.97249,1,0.995,0.77834,0.94519,0.52862,1.29887,0.000119816,0.000119816,0.000119816
77,683.423,1.09748,0.58362,1.25253,0.97469,1,0.995,0.76027,0.93425,0.53013,1.28344,9.91865e-05,9.91865e-05,9.91865e-05
78,690.966,1.05806,0.57305,1.21653,0.97469,1,0.995,0.76027,0.93425,0.53013,1.28344,7.85574e-05,7.85574e-05,7.85574e-05
79,698.695,1.06492,0.56442,1.24722,0.97538,1,0.995,0.76011,0.93819,0.52066,1.2808,5.79283e-05,5.79283e-05,5.79283e-05
80,705.641,1.00023,0.55348,1.19547,0.97563,1,0.995,0.774,0.93946,0.50877,1.27788,3.72991e-05,3.72991e-05,3.72991e-05
